no,tanggal,bulan,hari,keterangan,sumber_info,waktu_info,kelurahan,kecamatan,wilayah,objek_awal,jenis_bangunan,penyebab,korban_jiwa,kerugian
1,1,1,Selasa,Bencana Kebakaran,Petugas Pemadam,0:05,Semper Barat,Cilincing,Kota Administrasi Jakarta Utara,Rumah Tinggal,Bangunan Rendah,Lain,4,300000000
2,1,1,Selasa,Bencana Kebakaran,Masyarakat,5:00,Pekayon,Pasar Rebo,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,3,20000000
3,1,1,Selasa,Bencana Kebakaran,Masyarakat,10:00,Wijaya Kusuma,Grogol Petamburan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,80,750000000
4,1,1,Selasa,Bencana Kebakaran,Petugas Instansi Lain,0:00,Utan Panjang,Kemayoran,Kota Administrasi Jakarta Pusat,Rumah Tinggal,Bangunan Rendah,Listrik,12,200000000
5,2,1,Rabu,Bencana Kebakaran,Petugas Pemadam,19:30,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,0,600000000
6,2,1,Rabu,Bencana Kebakaran,Masyarakat,13:30,Duri Kosambi,Cengkareng,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,0,700000000
7,3,1,Kamis,Bencana Kebakaran,Masyarakat,4:50,Cengkareng Barat,Cengkareng,Kota Administrasi Jakarta Barat,Toko Bangunan,Bangunan Rendah,Listrik,0,1000000
9,4,1,Jumat,Bencana Kebakaran,Masyarakat,19:45,Jati,Pulogadung,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,2,200000000
10,5,1,Sabtu,Bencana Kebakaran,Petugas Pemadam,16:00,Kebon Kelapa,Gambir,Kota Administrasi Jakarta Pusat,Bangunan Umum,Bangunan Rendah,Listrik,0,50000000
11,6,1,Minggu,Bencana Kebakaran,Petugas Instansi Lain,8:15,Palmerah,Palmerah,Kota Administrasi Jakarta Barat,Rumah Tinggal,Bangunan Rendah,Listrik,6,150000000
12,6,1,Minggu,Bencana Kebakaran,Masyarakat,19:00,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,Rumah Tinggal,Bangunan Rendah,Listrik,12,900000000
13,6,1,Minggu,Bencana Kebakaran,Masyarakat,19:00,Setiabudi,Setiabudi,Kota Administrasi Jakarta Selatan,Gedung,Bangunan Tinggi,Listrik,0,2000000000
